chain-type,correct-config,num-nodes,txns-sent,txn-validation,block-management,block-dissemination,decide,commit
aptos,narwhal_blk_size=1048576+diem_blk_len=1,4,2329767.3333333335,2318638.3333333335,1969041.104930697,1818707.6672680918,1353136.6666666667,1353136.6666666667
aptos,narwhal_blk_size=1048576+diem_blk_len=1,8,1978138.6666666667,1976953.3333333333,1912058.2058818701,1658199.808964112,1444683.3333333333,1444683.3333333333
aptos,narwhal_blk_size=1048576+diem_blk_len=1,12,1905981.3333333333,1904069.6666666667,1786428.3295511997,1703744.448481511,1227265.6666666667,1227265.6666666667
aptos,narwhal_blk_size=1048576+diem_blk_len=1,16,1626033.6666666667,1624686.6666666667,1741130.8436135007,1610758.4617627615,1102774.3333333333,1102774.3333333333
aptos,narwhal_blk_size=1048576+diem_blk_len=1,20,1552882.6666666667,1550663.3333333333,1617307.1988306677,1468153.7499375474,1042641.6666666666,1042641.6666666666
aptos,narwhal_blk_size=1048576+diem_blk_len=1,24,1477199.6666666667,1474149.3333333333,1340711.9947922968,1233985.1496230061,818153.0,818153.0
aptos,narwhal_blk_size=262144+diem_blk_len=4,4,2429664.3333333335,2428499.3333333335,1485592.0230055442,1461554.3720997034,1447613.6666666667,1447613.6666666667
aptos,narwhal_blk_size=262144+diem_blk_len=4,8,2814263.0,2804473.3333333335,1973540.035172062,1926388.3041593663,1907304.6666666667,1907304.6666666667
aptos,narwhal_blk_size=262144+diem_blk_len=4,12,2716302.6666666665,2713715.3333333335,2027670.2749684716,1997582.7557514317,1801724.0,1801724.0
aptos,narwhal_blk_size=262144+diem_blk_len=4,16,2425289.3333333335,2422614.3333333335,2183461.069021551,2098139.1795957894,1564260.6666666667,1564260.6666666667
aptos,narwhal_blk_size=262144+diem_blk_len=4,20,2204240.0,2202233.0,2146921.8695097608,2050631.252260351,1394491.0,1394491.0
aptos,narwhal_blk_size=262144+diem_blk_len=4,24,2048465.3333333333,2047812.0,2001785.9564090583,1926346.333862556,1164148.0,1164148.0
aptos,narwhal_blk_size=65536+diem_blk_len=16,4,1646870.3333333333,1646459.6666666667,669308.1063480318,661465.88918159,647415.3333333334,647415.3333333334
aptos,narwhal_blk_size=65536+diem_blk_len=16,8,2068846.0,2066726.6666666667,1102648.1733205875,1089287.4123106583,1074623.0,1074623.0
aptos,narwhal_blk_size=65536+diem_blk_len=16,12,2223617.3333333335,2219641.3333333335,1252032.5961353893,1242713.7928240101,1228195.3333333333,1228195.3333333333
aptos,narwhal_blk_size=65536+diem_blk_len=16,16,2365777.6666666665,2362961.3333333335,1431222.5221827629,1405130.406872116,1387411.3333333333,1387411.3333333333
aptos,narwhal_blk_size=65536+diem_blk_len=16,20,2417893.3333333335,2416691.3333333335,1543774.574844144,1504973.3770721871,1487968.3333333333,1487968.3333333333
aptos,narwhal_blk_size=65536+diem_blk_len=16,24,2442499.6666666665,2439864.0,1570636.7631285544,1526565.2446578208,1510158.0,1510158.0
diem,blk_size=1048576,4,1543135.0,1542565.0,556578.3333333334,554510.0,544168.3333333334,544168.3333333334
diem,blk_size=1048576,8,1515580.0,1515580.0,532193.3333333334,528056.6666666666,519783.3333333333,519783.3333333333
diem,blk_size=1048576,12,1482251.6666666667,1483250.0,495728.3333333333,495728.3333333333,483318.3333333333,483318.3333333333
diem,blk_size=1048576,16,1464940.0,1465940.0,478350.0,478350.0,465940.0,465940.0
diem,blk_size=1048576,20,1452496.6666666667,1453496.6666666667,466040.0,466040.0,453630.0,453630.0
diem,blk_size=1048576,24,1426441.6666666667,1427441.6666666667,440018.3333333333,440018.3333333333,427608.3333333333,427608.3333333333
